feature,bin,count,event_rate,woe,coefficient,points
income_recorded,"(-inf, 2.243e+04]",1512,0.18386243386243387,-0.6666013112709634,-1.3661522894801825,45.96890541953621
income_recorded,"(2.243e+04, 2.816e+04]",1512,0.14153439153439154,-0.3549492679541274,-1.3661522894801825,58.25386204749299
income_recorded,"(2.816e+04, 3.343e+04]",1512,0.10912698412698413,-0.058569452722824294,-1.3661522894801825,69.93680542488269
income_recorded,"(3.343e+04, 3.888e+04]",1512,0.09854497354497355,0.054909248766043355,-1.3661522894801825,74.4100022348594
income_recorded,"(3.888e+04, 4.522e+04]",1511,0.09265387160820648,0.12284826091499859,-1.3661522894801825,77.08807810663424
income_recorded,"(4.522e+04, 5.326e+04]",1512,0.08068783068783068,0.27370308300037893,-1.3661522894801825,83.03459758622245
income_recorded,"(5.326e+04, 6.652e+04]",1512,0.06878306878306878,0.44548895522270265,-1.3661522894801825,89.80619441930172
income_recorded,"(6.652e+04, inf]",1512,0.05291005291005291,0.723314703475518,-1.3661522894801825,100.7577583207956
debt_to_income,"(-inf, 0.125]",1512,0.05952380952380952,0.5988648392825321,-1.397667426817093,96.39665974099873
debt_to_income,"(0.125, 0.221]",3025,0.06347107438016529,0.5332153458697614,-1.397667426817093,93.74913664335158
debt_to_income,"(0.221, 0.2686]",1512,0.07804232804232804,0.3094217704802841,-1.397667426817093,84.72395413016217
debt_to_income,"(0.2686, 0.324]",1510,0.08543046357615894,0.2112877872118053,-1.397667426817093,80.76639141549123
debt_to_income,"(0.324, 0.3903]",1512,0.11574074074074074,-0.1250380401478325,-1.397667426817093,67.20299054244326
debt_to_income,"(0.3903, 0.4914]",1512,0.13425925925925927,-0.2942218169469567,-1.397667426817093,60.380120577452345
debt_to_income,"(0.4914, inf]",1512,0.22817460317460317,-0.9383291296767456,-1.397667426817093,34.40445954540806
utilisation,"(-inf, 0.1625]",1513,0.031064111037673495,1.2739477013648366,-1.196341532809356,116.2210977855562
utilisation,"(0.1625, 0.2306]",1512,0.04497354497354497,0.8927282986260368,-1.196341532809356,103.06173950205925
utilisation,"(0.2306, 0.3521]",3024,0.06117724867724868,0.5723719012579238,-1.196341532809356,92.00331860036718
utilisation,"(0.3521, 0.4142]",1510,0.10132450331125828,0.023743008768765013,-1.196341532809356,73.06513206244425
utilisation,"(0.4142, 0.4918]",1513,0.11368142762723067,-0.10481004261780934,-1.196341532809356,68.62759386402308
utilisation,"(0.4918, 0.5948]",1512,0.16137566137566137,-0.5095814058876638,-1.196341532809356,54.65524263032398
utilisation,"(0.5948, inf]",1511,0.25347452018530775,-1.076651500561794,-1.196341532809356,35.08048202249013
n_delinq_24m,"(-inf, 0]",7543,0.07927880153784966,0.2940570197713072,-1.1486205284895634,81.99123579994912
n_delinq_24m,"(0, 1]",3608,0.12666297117516628,-0.22750877783051981,-1.1486205284895634,64.7054067903141
n_delinq_24m,"(1, inf]",944,0.2086864406779661,-0.8263699811444437,-1.1486205284895634,44.8578393144814
credit_history_months,"(-inf, 28.6]",1524,0.1646981627296588,-0.5338751711323557,-0.8931865061586746,58.48655883866388
credit_history_months,"(28.6, 39]",1514,0.13738441215323646,-0.32078843229026255,-0.8931865061586746,63.978212129999896
credit_history_months,"(39, 47.7]",1513,0.10575016523463318,-0.023801309527788358,-0.8931865061586746,71.63213897249365
credit_history_months,"(47.7, 66.8]",3019,0.0970520039748261,0.0729398990858916,-0.8931865061586746,74.12534516438546
credit_history_months,"(66.8, 80.05]",1501,0.08394403730846102,0.2303737961849806,-0.8931865061586746,78.18271815657694
credit_history_months,"(80.05, 100.7]",1513,0.07799074686054197,0.3101386163891175,-0.8931865061586746,80.23841031173954
credit_history_months,"(100.7, inf]",1511,0.06353408338848444,0.5297386201949406,-0.8931865061586746,85.89792291318457
n_inquiries_6m,"(-inf, 0]",5138,0.08583106267029973,0.20759455065639196,-1.2853121563154932,79.94445174306333
n_inquiries_6m,"(0, 1]",4393,0.10357386751650353,0.00014634185615211193,-1.2853121563154932,72.25097156872498
n_inquiries_6m,"(1, 2]",1872,0.1362179487179487,-0.3115985438559173,-1.2853121563154932,60.68951672875238
n_inquiries_6m,"(2, inf]",692,0.14595375722543352,-0.3944102756506144,-1.2853121563154932,57.61833852745672
employment_years,"(-inf, 1.64]",3036,0.14262187088274045,-0.3632362996297164,-0.7410017857572075,64.47926451434257
employment_years,"(1.64, 2.34]",1524,0.12664041994750655,-0.2271725832279231,-0.7410017857572075,67.38841453783522
employment_years,"(2.34, 3.17]",1488,0.11155913978494623,-0.08367262170011769,-0.7410017857572075,70.45655737186635
employment_years,"(3.17, 4.25]",1518,0.09090909090909091,0.14337422973074224,-0.7410017857572075,75.3109988838381
employment_years,"(4.25, 5.75]",1506,0.08831341301460824,0.17505955168295073,-0.7410017857572075,75.98845616296637
employment_years,"(5.75, 8.46]",1515,0.06336633663366337,0.5325604915560121,-0.7410017857572075,83.63210940964963
employment_years,"(8.46, inf]",1508,0.0616710875331565,0.5613201922452394,-0.7410017857572075,84.2470145889896
age,"(-inf, 27.8]",1524,0.15748031496062992,-0.4805517490079512,-0.6144463577734228,63.72575859368002
age,"(27.8, 31.1]",1526,0.13564875491480996,-0.30607965973944773,-0.6144463577734228,66.81900466870694
age,"(31.1, 34.3]",1503,0.11909514304723885,-0.15734137522828281,-0.6144463577734228,69.4560116346885
age,"(34.3, 37.5]",1507,0.1028533510285335,0.007107803089274133,-0.6144463577734228,72.37155977482311
age,"(37.5, 45.9]",3023,0.09758518028448561,0.06688197376806028,-0.6144463577734228,73.43130646333556
age,"(45.9, 52.9]",1509,0.06428098078197482,0.5173076090047208,-0.6144463577734228,81.41698104388767
age,"(52.9, inf]",1503,0.05256154357950765,0.7298626562656032,-0.6144463577734228,85.18540651768969
