band,n,mean_predicted,bad_rate,n_bad,cumulative_bad_capture,lift
1,652,0.5678897821203165,0.656441717791411,428,0.3852385238523852,3.8500218119971503
2,652,0.3098984678836355,0.3496932515337423,228,0.5904590459045904,2.0509461989143696
3,652,0.1931902581955881,0.23006134969325154,150,0.7254725472547254,1.3493067098120854
4,652,0.1297271044008501,0.15184049079754602,99,0.8145814581458146,0.8905424284759764
5,652,0.0904377316359372,0.10276073619631902,67,0.8748874887488749,0.6026903303827316
6,652,0.062465173779351194,0.08742331288343558,57,0.9261926192619262,0.5127365497285924
7,651,0.0425448332760326,0.05683563748079877,37,0.9594959495949595,0.333340246467043
8,651,0.02854019575993111,0.03840245775729647,25,0.981998199819982,0.22522989626151554
9,651,0.01748015944601572,0.02304147465437788,15,0.9954995499549955,0.13513793775690933
10,651,0.007034997760982655,0.007680491551459293,5,1.0,0.04504597925230311
