model,threshold,approval_rate,bad_rate_approved,loss_rate_on_approved,realised_loss,margin_earned,net_cost,net_cost_per_application,expected_loss_model,expected_loss_error
scorecard_woe_lr,0.0,0.0,,,0.0,0.0,-0.0,-0.0,0.0,0.0
scorecard_woe_lr,0.0011123179937771253,0.0,,,0.0,0.0,-0.0,-0.0,0.0,0.0
scorecard_woe_lr,0.00378121196093865,0.010128913443830571,0.0,0.0,0.0,121491.0,-121491.0,-18.645027624309392,2910.8674924135003,2910.8674924135003
scorecard_woe_lr,0.005547185851264227,0.020257826887661142,0.0,0.0,0.0,236385.0,-236385.0,-36.277624309392266,7344.630194571475,7344.630194571475
scorecard_woe_lr,0.007171562509698564,0.03038674033149171,0.0,0.0,0.0,346572.0,-346572.0,-53.187845303867405,13153.592826885335,13153.592826885335
scorecard_woe_lr,0.008325942173444149,0.040515653775322284,0.0,0.0,0.0,446202.0,-446202.0,-68.47790055248619,19571.316576651705,19571.316576651705
scorecard_woe_lr,0.00950542091468246,0.05064456721915286,0.0030303030303030303,0.0007727272727272728,2550.0,539019.0,-536469.0,-82.33103130755065,26452.40837114543,23902.40837114543
scorecard_woe_lr,0.010666761189775255,0.06062001227747084,0.005063291139240506,0.0015759493670886077,6225.0,636489.0,-630264.0,-96.7255985267035,34648.21427881833,28423.214278818326
scorecard_woe_lr,0.011713619586464283,0.07074892572130141,0.006507592190889371,0.006296095444685466,29025.0,729270.0,-700245.0,-107.46546961325967,43531.15229144125,14506.152291441249
scorecard_woe_lr,0.012761706450402635,0.08087783916513198,0.0056925996204933585,0.005507590132827324,29025.0,820107.0,-791082.0,-121.4060773480663,52801.232312323955,23776.232312323955
scorecard_woe_lr,0.013930997663215356,0.09100675260896256,0.006745362563237774,0.005489038785834739,32550.0,914490.0,-881940.0,-135.34990791896868,63336.237584847055,30786.237584847055
scorecard_woe_lr,0.01515795196061207,0.10113566605279313,0.009104704097116844,0.005986342943854325,39450.0,1009530.0,-970080.0,-148.87661141804787,74915.41332507793,35465.41332507793
scorecard_woe_lr,0.01613656122984505,0.1111111111111111,0.009668508287292817,0.008525552486187846,61725.0,1109574.0,-1047849.0,-160.81169429097605,88343.37012451986,26618.37012451986
scorecard_woe_lr,0.01747522009344236,0.12124002455494168,0.01139240506329114,0.010737341772151899,84825.0,1188189.0,-1103364.0,-169.3314917127072,99769.42553134769,14944.42553134769
scorecard_woe_lr,0.018604338757001713,0.13136893799877225,0.015186915887850467,0.016270443925233646,139275.0,1274643.0,-1135368.0,-174.24309392265192,113741.5079611636,-25533.492038836397
scorecard_woe_lr,0.01961576105957646,0.14149785144260282,0.015184381778741865,0.01622830802603037,149625.0,1375146.0,-1225521.0,-188.07872928176795,129926.27170898924,-19698.72829101076
scorecard_woe_lr,0.020723756867712252,0.1516267648864334,0.015182186234817813,0.016024797570850204,158325.0,1474992.0,-1316667.0,-202.06675874769797,146910.39535922543,-11414.604640774574
scorecard_woe_lr,0.02185729813383835,0.16160220994475138,0.015194681861348529,0.015548433048433048,163725.0,1560861.0,-1397136.0,-214.41620626151013,162283.611205594,-1441.388794405997
scorecard_woe_lr,0.022838054541223295,0.17173112338858196,0.01519213583556747,0.016916890080428952,189300.0,1640232.0,-1450932.0,-222.6721915285451,177587.31253389426,-11712.687466105737
scorecard_woe_lr,0.023752591733752822,0.18186003683241253,0.016877637130801686,0.018202531645569623,215700.0,1721493.0,-1505793.0,-231.091620626151,194036.27629368083,-21663.72370631917
scorecard_woe_lr,0.025005186502097546,0.1919889502762431,0.01598721023181455,0.017242206235011992,215700.0,1827036.0,-1611336.0,-247.28913443830572,215486.96551783796,-213.03448216203833
scorecard_woe_lr,0.025971080477365238,0.20211786372007368,0.016704631738800303,0.017995444191343964,237000.0,1914714.0,-1677714.0,-257.47605893186005,234624.2167710576,-2375.783228942397
scorecard_woe_lr,0.027377449326817634,0.21209330877839166,0.01881331403762663,0.021490593342981184,297000.0,2001303.0,-1704303.0,-261.5566298342541,255560.57256304298,-41439.42743695702
scorecard_woe_lr,0.0289709550536447,0.2222222222222222,0.020718232044198894,0.02270200276243094,328725.0,2077443.0,-1748718.0,-268.3729281767956,274330.61402858124,-54394.38597141876
scorecard_woe_lr,0.03041450298457493,0.23235113566605278,0.021136063408190225,0.023778071334214,360000.0,2163816.0,-1803816.0,-276.82872928176795,296628.136024474,-63371.86397552601
scorecard_woe_lr,0.031913185496171614,0.24248004910988336,0.024683544303797468,0.02828164556962025,446850.0,2238318.0,-1791468.0,-274.9337016574586,318707.51555012463,-128142.48444987537
scorecard_woe_lr,0.033154873211569846,0.25260896255371396,0.023693803159173753,0.02714763061968408,446850.0,2325501.0,-1878651.0,-288.31353591160223,342358.721801072,-104491.27819892799
scorecard_woe_lr,0.03468483793884022,0.2627378759975445,0.0227803738317757,0.02610105140186916,446850.0,2404413.0,-1957563.0,-300.4240331491713,364610.32541979244,-82239.67458020756
scorecard_woe_lr,0.03620874717233071,0.2727133210558625,0.024198086662915026,0.027083567810917277,481275.0,2474577.0,-1993302.0,-305.9088397790055,386582.19195760763,-94692.80804239237
scorecard_woe_lr,0.03752836768173423,0.2828422344996931,0.024959305480195332,0.027875746066196423,513750.0,2563029.0,-2049279.0,-314.49953959484344,414955.0665117823,-98794.9334882177
scorecard_woe_lr,0.03915408765555732,0.29297114794352364,0.02566788894709272,0.029119958093242537,555900.0,2636892.0,-2080992.0,-319.36648250460405,440164.971879472,-115735.02812052798
scorecard_woe_lr,0.040806123429247367,0.3031000613873542,0.026835443037974683,0.030060759493670885,593700.0,2711664.0,-2117964.0,-325.04051565377534,466595.2930993478,-127104.7069006522
scorecard_woe_lr,0.042210517406062804,0.3132289748311848,0.028907398334149927,0.03385840274375306,691050.0,2793618.0,-2102568.0,-322.6777163904236,499020.50565756264,-192029.49434243736
scorecard_woe_lr,0.04374692374301338,0.32320441988950277,0.029439696106362774,0.03436965811965812,723825.0,2869065.0,-2145240.0,-329.22651933701655,527544.6422495339,-196280.3577504661
scorecard_woe_lr,0.04526755485440867,0.3333333333333333,0.02992633517495396,0.03588052486187845,779325.0,2941749.0,-2162424.0,-331.8637200736648,556906.7136902297,-222418.2863097703
scorecard_woe_lr,0.04721365967462876,0.3434622467771639,0.031724754244861486,0.037868632707774796,847500.0,3010986.0,-2163486.0,-332.0267034990792,586641.1565337749,-260858.84346622508
scorecard_woe_lr,0.04909762057683843,0.35359116022099446,0.033854166666666664,0.040442708333333334,931800.0,3080961.0,-2149161.0,-329.82826887661145,618734.6973415416,-313065.30265845836
scorecard_woe_lr,0.051378164836226405,0.36372007366482506,0.03459915611814346,0.0410126582278481,972000.0,3177594.0,-2205594.0,-338.4889502762431,661184.9150855462,-310815.0849144538
