feature,mean_abs_shap,mean_shap
utilisation,0.7163919347382793,0.13221760298191693
income_recorded,0.5992680431811203,0.08950974820201357
debt_to_income,0.5556293557131537,0.06007474833895533
credit_history_months,0.32460140748608085,0.16960918885560428
n_delinq_24m,0.29361874774535074,0.02750539570074089
loan_amount,0.26511702333548814,-0.03231170881077949
employment_years,0.23936406714117234,0.008196715870239641
age,0.2237710543030233,-0.004811443517731613
n_inquiries_6m,0.21673091262413963,0.04575217524432023
housing_status,0.1419128834716502,0.003943400661500857
product_type,0.0618030361668572,2.9209174829433392e-05
