feature,psi,status,reference_mean,current_mean,relative_change
credit_history_months,0.21171491938904874,watch,62.600959073997515,49.519168201350524,-0.20897109351285895
utilisation,0.029918965337066734,stable,0.3703245886730054,0.39825231737262123,0.07541418948088237
n_inquiries_6m,0.018038413472439,stable,0.8590326581231914,1.0168815224063843,0.18375187810444832
income_recorded,0.014047188023856195,stable,43196.86160810252,41027.62363720074,-0.050217490117265576
loan_amount,0.012480507169980278,stable,14329.524596940884,13400.72130141191,-0.06481745358999967
debt_to_income,0.012257497217400895,stable,0.2981241670111617,0.3114010742786986,0.04453482386431241
n_delinq_24m,0.0035194367822704306,stable,0.46730053741215377,0.5263965623081646,0.1264625656612262
employment_years,0.002168450853408141,stable,4.4009954526663915,4.2301012891344385,-0.038830797570675715
age,0.00144545340277527,stable,39.71552707730467,39.83746163290362,0.0030701985991928808
housing_status,0.0001365660466573878,stable,,,
product_type,0.00013218013714645185,stable,,,
