bin,lower,upper,reference_share,current_share,psi_contribution,psi_total
0,0.0006369066587151163,0.007868563672065837,0.10004133939644481,0.05923879680785758,0.021380810418543065,0.10337762135076563
1,0.007868563672065837,0.013992789786699903,0.09995866060355518,0.05632289748311848,0.025031897659274716,0.10337762135076563
2,0.013992789786699903,0.021834456559333672,0.10004133939644481,0.07612031921424187,0.006536855527778522,0.10337762135076563
3,0.021834456559333672,0.03236426231801978,0.09995866060355518,0.09069981583793739,0.0008999724873729705,0.10337762135076563
4,0.03236426231801978,0.046374412152029656,0.10004133939644481,0.09361571516267649,0.00042656653045155363,0.10337762135076563
5,0.046374412152029656,0.0665835421118485,0.09995866060355518,0.09192756292203806,0.0006726510045852337,0.10337762135076563
6,0.0665835421118485,0.09899295772032278,0.09995866060355518,0.10758133824432167,0.0005601943129652413,0.10337762135076563
7,0.09899295772032278,0.1586541011155143,0.10004133939644481,0.12937384898710866,0.007542056197176445,0.10337762135076563
8,0.1586541011155143,0.2854980548500416,0.09995866060355518,0.13044812768569675,0.008116873979492928,0.10337762135076563
9,0.2854980548500416,0.9563104088124171,0.10004133939644481,0.16467157765500307,0.03220974323312496,0.10337762135076563
