cohort,cohort_start_vintage,months_on_book,n,cumulative_defaults,cumulative_default_rate
v00-05,0,1,4974,23,0.004624045034177724
v00-05,0,2,4974,70,0.01407318053880177
v00-05,0,3,4974,141,0.028347406513872134
v00-05,0,4,4974,237,0.04764776839565742
v00-05,0,5,4974,337,0.0677523120225171
v00-05,0,6,4974,443,0.08906312826698834
v00-05,0,7,4974,573,0.11519903498190591
v00-05,0,8,4974,680,0.13671089666264577
v00-05,0,9,4974,750,0.15078407720144751
v00-05,0,10,4974,815,0.16385203055890632
v00-05,0,11,4974,850,0.1708886208283072
v00-05,0,12,4974,871,0.17511057498994773
v06-11,6,1,5142,26,0.005056398288603656
v06-11,6,2,5142,55,0.010696227148969272
v06-11,6,3,5142,115,0.022364838584208478
v06-11,6,4,5142,202,0.03928432516530533
v06-11,6,5,5142,316,0.06145468689225982
v06-11,6,6,5142,421,0.08187475690392844
v06-11,6,7,5142,535,0.10404511863088292
v06-11,6,8,5142,633,0.12310385064177364
v06-11,6,9,5142,714,0.13885647607934656
v06-11,6,10,5142,780,0.1516919486581097
v06-11,6,11,5142,826,0.16063788409179308
v06-11,6,12,5142,840,0.1633605600933489
v12-17,12,1,4976,25,0.00502411575562701
v12-17,12,2,4976,57,0.011454983922829582
v12-17,12,3,4976,123,0.024718649517684887
v12-17,12,4,4976,197,0.039590032154340836
v12-17,12,5,4976,299,0.06008842443729904
v12-17,12,6,4976,437,0.08782154340836013
v12-17,12,7,4976,536,0.10771704180064309
v12-17,12,8,4976,643,0.1292202572347267
v12-17,12,9,4976,724,0.1454983922829582
v12-17,12,10,4976,795,0.1597668810289389
v12-17,12,11,4976,832,0.16720257234726688
v12-17,12,12,4976,863,0.17343247588424437
v18-23,18,1,5019,19,0.003785614664275752
v18-23,18,2,5019,50,0.009962143853357242
v18-23,18,3,5019,99,0.01972504482964734
v18-23,18,4,5019,172,0.03426977485554891
v18-23,18,5,5019,264,0.05260011954572624
v18-23,18,6,5019,371,0.07391910739191074
v18-23,18,7,5019,494,0.09842598127116955
v18-23,18,8,5019,607,0.12094042637975692
v18-23,18,9,5019,689,0.1372783422992628
v18-23,18,10,5019,755,0.15042837218569435
v18-23,18,11,5019,796,0.1585973301454473
v18-23,18,12,5019,821,0.16357840207212593
v24-29,24,1,4926,19,0.003857084855866829
v24-29,24,2,4926,65,0.01319529029638652
v24-29,24,3,4926,129,0.026187576126674786
v24-29,24,4,4926,258,0.05237515225334957
v24-29,24,5,4926,374,0.07592367032074705
v24-29,24,6,4926,509,0.10332927324401137
v24-29,24,7,4926,663,0.1345919610231425
v24-29,24,8,4926,795,0.16138855054811205
v24-29,24,9,4926,895,0.1816889971579375
v24-29,24,10,4926,979,0.19874137231019082
v24-29,24,11,4926,1031,0.20929760454730004
v24-29,24,12,4926,1072,0.21762078765732845
v30-35,30,1,4963,44,0.008865605480556116
v30-35,30,2,4963,123,0.024783397138827323
v30-35,30,3,4963,218,0.04392504533548257
v30-35,30,4,4963,375,0.07555913761837599
v30-35,30,5,4963,564,0.11364094297803748
v30-35,30,6,4963,750,0.15111827523675198
v30-35,30,7,4963,979,0.19725972194237357
v30-35,30,8,4963,1146,0.230908724561757
v30-35,30,9,4963,1286,0.25911746927261736
v30-35,30,10,4963,1404,0.28289341124319967
v30-35,30,11,4963,1478,0.2978037477332259
v30-35,30,12,4963,1521,0.306467862180133
